,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
394,2021-07-27T00:00:00.000Z,146.77,149.21,145.55,149.12,104818578,143.2090072811,145.5898070206,142.0186074114,145.5019906368,104818578,0.0,1.0
395,2021-07-28T00:00:00.000Z,144.98,146.97,142.54,144.81,118931191,141.4624369804,143.4041548008,139.0816372409,141.2965615888,118931191,0.0,1.0
396,2021-07-29T00:00:00.000Z,145.64,146.55,144.58,144.685,54323047,142.1064237952,142.9943450095,141.0721419412,141.174594389,54323047,0.0,1.0
397,2021-07-30T00:00:00.000Z,145.86,146.33,144.11,144.38,70440626,142.3210860668,142.7796827379,140.61354527,140.8769944215,70440626,0.0,1.0
398,2021-08-02T00:00:00.000Z,145.52,146.95,145.25,146.36,62879961,141.9893352834,143.3846400488,141.7258861319,142.8089548659,62879961,0.0,1.0
399,2021-08-03T00:00:00.000Z,147.36,148.045,145.18,145.81,64786618,143.784692464,144.4530727188,141.6575845001,142.2722991869,64786618,0.0,1.0
400,2021-08-04T00:00:00.000Z,146.95,147.79,146.28,147.27,56368271,143.3846400488,144.2042596313,142.730895858,143.6968760802,56368271,0.0,1.0
401,2021-08-05T00:00:00.000Z,147.06,147.84,146.17,146.98,46397674,143.4919711846,144.2530465112,142.6235647222,143.4139121767,46397674,0.0,1.0
402,2021-08-06T00:00:00.000Z,146.14,147.11,145.63,146.35,54126813,142.8089548659,143.7568451507,142.3105795615,143.0141682265,54126813,0.22,1.0
403,2021-08-09T00:00:00.000Z,146.09,146.7,145.52,146.2,48908689,142.7600945419,143.3561904942,142.2030868488,142.8675872546,48908689,0.0,1.0
404,2021-08-10T00:00:00.000Z,145.6,147.71,145.3,146.44,69023081,142.2812633671,144.3431690382,141.9881014234,143.1021168096,69023081,0.0,1.0
405,2021-08-11T00:00:00.000Z,145.86,146.72,145.53,146.05,48493463,142.5353370517,143.3757346238,142.2128589136,142.7210062828,48493463,0.0,1.0
406,2021-08-12T00:00:00.000Z,148.89,149.05,145.84,146.19,73779113,145.4962726836,145.6526257203,142.5157929221,142.8578151898,73779113,0.0,1.0
407,2021-08-13T00:00:00.000Z,149.1,149.4444,148.27,148.97,58846293,145.7014860442,146.0380359557,144.8904046665,145.5744492019,58846293,0.0,1.0
408,2021-08-16T00:00:00.000Z,151.12,151.19,146.47,148.535,103558782,147.6754431322,147.7438475857,143.131433004,145.1493643835,103558782,0.0,1.0
409,2021-08-17T00:00:00.000Z,150.19,151.68,149.09,150.23,92229735,146.7666411065,148.2226787605,145.6917139794,146.8057293657,92229735,0.0,1.0
410,2021-08-18T00:00:00.000Z,146.36,150.72,146.15,149.8,86325990,143.0239402913,147.2845605405,142.8187269307,146.3855305797,86325990,0.0,1.0
411,2021-08-19T00:00:00.000Z,146.7,148.0,144.5,145.03,86960310,143.3561904942,144.6265589171,141.2063362401,141.724255674,86960310,0.0,1.0
412,2021-08-20T00:00:00.000Z,148.19,148.5,146.78,147.44,60549630,144.8122281482,145.1151621567,143.4343670126,144.0793232888,60549630,0.0,1.0
413,2021-08-23T00:00:00.000Z,149.71,150.19,147.89,148.31,60131810,146.2975819965,146.7666411065,144.5190662044,144.9294929257,60131810,0.0,1.0
414,2021-08-24T00:00:00.000Z,149.62,150.86,149.15,149.45,48606428,146.2096334134,147.4213694476,145.7503463682,146.0435083119,48606428,0.0,1.0
415,2021-08-25T00:00:00.000Z,148.36,150.32,147.8,149.81,58991297,144.9783532496,146.8936779488,144.4311176213,146.3953026444,58991297,0.0,1.0
416,2021-08-26T00:00:00.000Z,147.54,149.12,147.51,148.35,48597195,144.1770439367,145.7210301738,144.1477277424,144.9685811849,48597195,0.0,1.0
417,2021-08-27T00:00:00.000Z,148.6,148.75,146.83,147.48,55802388,145.2128828047,145.3594637765,143.4832273365,144.118411548,55802388,0.0,1.0
